Rank,Movement,Points,Country,Country Code,Abbreviation,Competitor Last Name,Competitor First Initial
113,2,548,Great Britain,GBR,MUR,"Murray,",A
114,2,547,USA,USA,MMO,"Mmoh,",M
115,-7,546,USA,USA,WOL,"Wolf,",J
116,23,545,Great Britain,GBR,HAR,"Harris,",B
117,0,543,Argentina,ARG,CAC,"Cachin,",P
118,-27,541,South Africa,ZAF,HAR,"Harris,",L
119,-1,541,USA,USA,SVA,"Svajda,",Z
120,-1,533,Netherlands,NLD,DEJ,De,J
121,-1,530,Canada,CAN,SHA,"Shapovalov,",D
122,-1,529,Argentina,ARG,COM,"Comesana,",F
123,0,523,Czechia,CZE,KOP,"Kopriva,",V
124,0,522,Argentina,ARG,BAG,"Bagnis,",F
125,1,520,France,FRA,GAS,"Gasquet,",R
126,1,517,Serbia,SRB,MED,"Medjedovic,",H
127,1,517,Argentina,ARG,TIR,"Tirante,",T
128,1,514,Slovakia,SVK,KLE,"Klein,",L
129,1,514,Italy,ITA,NAP,"Napolitano,",S
130,-25,513,France,FRA,BAR,"Barrere,",G
131,-6,513,France,FRA,ATM,"Atmane,",T
132,-1,506,Italy,ITA,PAS,"Passaro,",F
133,-1,498,Kazakhstan,KAZ,KUK,"Kukushkin,",M
134,0,483,Austria,AUT,THI,"Thiem,",D
135,0,483,Italy,ITA,GIG,"Gigante,",M
136,1,482,Croatia,HRV,AJD,"Ajdukovic,",D
137,1,481,Switzerland,CHE,RIE,"Riedi,",L
138,2,455,France,FRA,HER,"Herbert,",P
139,2,434,Argentina,ARG,CER,"Cerundolo,",J
140,-7,423,France,FRA,DRO,"Droguet,",T
141,2,420,Japan,JPN,MOC,"Mochizuki,",S
142,2,419,Argentina,ARG,BUR,"Burruchaga,",R
143,-7,414,USA,USA,NAV,"Nava,",E
144,1,406,Moldova,MDA,ALB,"Albot,",R
145,2,403,Brazil,BRA,MEL,Meligeni,A
146,2,402,USA,USA,MAN,Moreno,d
147,2,401,Finland,FIN,VIR,"Virtanen,",O
148,2,401,Italy,ITA,BEL,"Bellucci,",M
149,2,400,Switzerland,CHE,STR,"Stricker,",D
150,2,397,France,FRA,BON,"Bonzi,",B
151,2,396,Argentina,ARG,TRU,"Trungelliti,",M
152,2,393,Austria,AUT,ROD,"Rodionov,",J
153,2,392,Italy,ITA,ZEP,"Zeppieri,",G
154,2,392,Germany,DEU,HAS,"Hassan,",B
155,2,385,Canada,CAN,RAO,"Raonic,",M
156,-10,384,Great Britain,GBR,BRO,"Broady,",L
157,-15,377,USA,USA,KYP,"Kypson,",P
158,0,377,Italy,ITA,PEL,"Pellegrino,",A
159,3,368,Peru,PER,VAR,"Varillas,",J
160,-1,368,France,FRA,PAI,"Paire,",B
161,7,366,Chinese Taipei,TPE,TSE,"Tseng,",C
162,-2,366,France,FRA,BLA,"Blanchet,",U
163,-2,363,Japan,JPN,WAT,"Watanuki,",Y
164,-1,359,Kazakhstan,KAZ,YEV,"Yevseyev,",D
165,-1,358,Spain,ESP,ROC,Roca,B
166,0,355,Canada,CAN,DIA,"Diallo,",G
167,0,355,USA,USA,KUD,"Kudla,",D
168,1,354,Spain,ESP,LLA,Llamas,R
169,1,354,Canada,CAN,GAL,"Galarneau,",A
170,1,353,France,FRA,MAR,"Martineau,",M
171,2,352,Bolivia,BOL,DEL,"Dellien,",H
172,-7,350,Croatia,HRV,GOJ,"Gojo,",B
