Event ID,Start Time,Confirmed,Sport ID,Sport Name,Category ID,Category Name,Competition ID,Competition Name,Parent ID,Type,Gender,Level,Season ID,Season Name,Start Date,End Date,Year,Competition ID.1,Stage Order,Stage Type,Stage Phase,Round Name,Group ID,Group Name,Best Of,Venue ID,Venue Name,City Name,Country Name,Country Code,Timezone,Competitor ID,Country,Country Code.1,Abbreviation,Qualifier,Seed,Bracket Number,Status,Match Status,Home Score,Away Score,Winner ID,Period Scores,Aces,Backhand Errors,Backhand Unforced Errors,Backhand Winners,Breakpoints Won,Double Faults,Drop Shot Unforced Errors,Drop Shot Winners,First Serve Points Won,First Serve Successful,Forehand Errors,Forehand Unforced Errors,Forehand Winners,Games Won,Groundstroke Errors,Groundstroke Unforced Errors,Groundstroke Winners,Lob Unforced Errors,Lob Winners,Max Games In A Row,Max Points In A Row,Overhead Stroke Errors,Overhead Stroke Unforced Errors,Overhead Stroke Winners,Points Won,Points Won From Last 10,Return Errors,Return Winners,Second Serve Points Won,Second Serve Successful,Service Games Won,Service Points Lost,Service Points Won,Tiebreaks Won,Total Breakpoints,Volley Unforced Errors,Volley Winners,Competitor Last Name,Competitor First Initial
50789949,2024-06-18T13:55:00+00:00,True,5,Tennis,3,ATP,2865,"ATP London, Great Britain Men Singles",2863,singles,men,atp_500,111406,"ATP London, Great Britain Men Singles 2024",2024-06-15,2024-06-23,2024,2865,2,cup,stage_1_playoff,round_of_32,155094,"2024 London, Great Britain",3,64163.0,Centre Court,London,England,ESP,Europe/London,407573,Spain,ESP,ALC,home,1.0,1,closed,ended,2.0,0.0,407573.0,"[{'home_score': 6, 'away_score': 1, 'type': 'set', 'number': 1}, {'home_score': 7, 'away_score': 5, 'type': 'set', 'number': 2}]",2.0,,,,4.0,3.0,,,26.0,33.0,,,,13.0,,,,,,5.0,7.0,,,,67.0,,,,15.0,20.0,9.0,15.0,41.0,0.0,8.0,,,"Alcaraz,",C
50789949,2024-06-18T13:55:00+00:00,True,5,Tennis,3,ATP,2865,"ATP London, Great Britain Men Singles",2863,singles,men,atp_500,111406,"ATP London, Great Britain Men Singles 2024",2024-06-15,2024-06-23,2024,2865,2,cup,stage_1_playoff,round_of_32,155094,"2024 London, Great Britain",3,64163.0,Centre Court,London,England,ARG,Europe/London,255595,Argentina,ARG,CER,away,,2,closed,ended,2.0,0.0,407573.0,"[{'home_score': 6, 'away_score': 1, 'type': 'set', 'number': 1}, {'home_score': 7, 'away_score': 5, 'type': 'set', 'number': 2}]",1.0,,,,1.0,3.0,,,17.0,30.0,,,,6.0,,,,,,3.0,7.0,,,,43.0,,,,11.0,21.0,5.0,26.0,28.0,0.0,4.0,,,"Cerundolo,",F
50200073,2024-06-09T13:10:00+00:00,True,5,Tennis,3,ATP,2579,French Open Men Singles,2577,singles,men,grand_slam,106267,French Open Men Singles 2024,2024-05-20,2024-06-09,2024,2579,2,cup,stage_1_playoff,final,148957,"2024 French Open, Paris, France",5,1826.0,Court Philippe Chatrier,Paris,France,DEU,Europe/Paris,57163,Germany,DEU,ZVE,home,4.0,33,closed,ended,2.0,3.0,407573.0,"[{'home_score': 3, 'away_score': 6, 'type': 'set', 'number': 1}, {'home_score': 6, 'away_score': 2, 'type': 'set', 'number': 2}, {'home_score': 7, 'away_score': 5, 'type': 'set', 'number': 3}, {'home_score': 1, 'away_score': 6, 'type': 'set', 'number': 4}, {'home_score': 2, 'away_score': 6, 'type': 'set', 'number': 5}]",8.0,24.0,14.0,13.0,6.0,6.0,0.0,0.0,61.0,97.0,36.0,21.0,15.0,19.0,60.0,35.0,28.0,0.0,0.0,5.0,7.0,1.0,0.0,0.0,139.0,1.0,0.0,0.0,12.0,30.0,13.0,60.0,73.0,0.0,23.0,0.0,0.0,"Zverev,",A
50200073,2024-06-09T13:10:00+00:00,True,5,Tennis,3,ATP,2579,French Open Men Singles,2577,singles,men,grand_slam,106267,French Open Men Singles 2024,2024-05-20,2024-06-09,2024,2579,2,cup,stage_1_playoff,final,148957,"2024 French Open, Paris, France",5,1826.0,Court Philippe Chatrier,Paris,France,ESP,Europe/Paris,407573,Spain,ESP,ALC,away,3.0,96,closed,ended,2.0,3.0,407573.0,"[{'home_score': 3, 'away_score': 6, 'type': 'set', 'number': 1}, {'home_score': 6, 'away_score': 2, 'type': 'set', 'number': 2}, {'home_score': 7, 'away_score': 5, 'type': 'set', 'number': 3}, {'home_score': 1, 'away_score': 6, 'type': 'set', 'number': 4}, {'home_score': 2, 'away_score': 6, 'type': 'set', 'number': 5}]",3.0,18.0,23.0,13.0,9.0,6.0,0.0,0.0,62.0,96.0,26.0,28.0,34.0,25.0,44.0,50.0,47.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,153.0,9.0,0.0,0.0,31.0,57.0,16.0,66.0,93.0,0.0,16.0,0.0,0.0,"Alcaraz,",C
50200071,2024-06-07T12:30:00+00:00,True,5,Tennis,3,ATP,2579,French Open Men Singles,2577,singles,men,grand_slam,106267,French Open Men Singles 2024,2024-05-20,2024-06-09,2024,2579,2,cup,stage_1_playoff,semifinal,148957,"2024 French Open, Paris, France",5,1826.0,Court Philippe Chatrier,Paris,France,ESP,Europe/Paris,407573,Spain,ESP,ALC,home,3.0,96,closed,ended,3.0,2.0,407573.0,"[{'home_score': 2, 'away_score': 6, 'type': 'set', 'number': 1}, {'home_score': 6, 'away_score': 3, 'type': 'set', 'number': 2}, {'home_score': 3, 'away_score': 6, 'type': 'set', 'number': 3}, {'home_score': 6, 'away_score': 4, 'type': 'set', 'number': 4}, {'home_score': 6, 'away_score': 3, 'type': 'set', 'number': 5}]",8.0,25.0,18.0,15.0,6.0,7.0,0.0,0.0,68.0,103.0,26.0,32.0,41.0,23.0,51.0,50.0,56.0,0.0,0.0,5.0,7.0,0.0,0.0,1.0,145.0,6.0,0.0,0.0,25.0,47.0,17.0,64.0,93.0,0.0,14.0,0.0,0.0,"Alcaraz,",C
50200071,2024-06-07T12:30:00+00:00,True,5,Tennis,3,ATP,2579,French Open Men Singles,2577,singles,men,grand_slam,106267,French Open Men Singles 2024,2024-05-20,2024-06-09,2024,2579,2,cup,stage_1_playoff,semifinal,148957,"2024 French Open, Paris, France",5,1826.0,Court Philippe Chatrier,Paris,France,ITA,Europe/Paris,225050,Italy,ITA,SIN,away,2.0,128,closed,ended,3.0,2.0,407573.0,"[{'home_score': 2, 'away_score': 6, 'type': 'set', 'number': 1}, {'home_score': 6, 'away_score': 3, 'type': 'set', 'number': 2}, {'home_score': 3, 'away_score': 6, 'type': 'set', 'number': 3}, {'home_score': 6, 'away_score': 4, 'type': 'set', 'number': 4}, {'home_score': 6, 'away_score': 3, 'type': 'set', 'number': 5}]",7.0,19.0,18.0,9.0,6.0,8.0,0.0,0.0,56.0,76.0,18.0,17.0,22.0,22.0,37.0,35.0,31.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,147.0,4.0,0.0,0.0,27.0,51.0,16.0,52.0,83.0,0.0,10.0,0.0,0.0,"Sinner,",J
50200065,2024-06-04T18:30:00+00:00,True,5,Tennis,3,ATP,2579,French Open Men Singles,2577,singles,men,grand_slam,106267,French Open Men Singles 2024,2024-05-20,2024-06-09,2024,2579,2,cup,stage_1_playoff,quarterfinal,148957,"2024 French Open, Paris, France",5,1826.0,Court Philippe Chatrier,Paris,France,GRC,Europe/Paris,122366,Greece,GRC,TSI,home,9.0,80,closed,ended,0.0,3.0,407573.0,"[{'home_score': 3, 'away_score': 6, 'type': 'set', 'number': 1}, {'home_score': 6, 'away_score': 7, 'type': 'set', 'number': 2, 'home_tiebreak_score': 3, 'away_tiebreak_score': 7}, {'home_score': 4, 'away_score': 6, 'type': 'set', 'number': 3}]",2.0,28.0,18.0,8.0,1.0,4.0,0.0,0.0,39.0,60.0,13.0,11.0,16.0,13.0,41.0,29.0,24.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,81.0,4.0,0.0,0.0,20.0,34.0,12.0,39.0,59.0,0.0,2.0,0.0,0.0,"Tsitsipas,",S
50200065,2024-06-04T18:30:00+00:00,True,5,Tennis,3,ATP,2579,French Open Men Singles,2577,singles,men,grand_slam,106267,French Open Men Singles 2024,2024-05-20,2024-06-09,2024,2579,2,cup,stage_1_playoff,quarterfinal,148957,"2024 French Open, Paris, France",5,1826.0,Court Philippe Chatrier,Paris,France,ESP,Europe/Paris,407573,Spain,ESP,ALC,away,3.0,96,closed,ended,0.0,3.0,407573.0,"[{'home_score': 3, 'away_score': 6, 'type': 'set', 'number': 1}, {'home_score': 6, 'away_score': 7, 'type': 'set', 'number': 2, 'home_tiebreak_score': 3, 'away_tiebreak_score': 7}, {'home_score': 4, 'away_score': 6, 'type': 'set', 'number': 3}]",3.0,15.0,10.0,7.0,4.0,1.0,0.0,0.0,45.0,61.0,19.0,10.0,17.0,19.0,34.0,20.0,24.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,101.0,6.0,0.0,0.0,17.0,22.0,14.0,22.0,62.0,1.0,6.0,0.0,0.0,"Alcaraz,",C
50200053,2024-06-02T12:05:00+00:00,True,5,Tennis,3,ATP,2579,French Open Men Singles,2577,singles,men,grand_slam,106267,French Open Men Singles 2024,2024-05-20,2024-06-09,2024,2579,2,cup,stage_1_playoff,round_of_16,148957,"2024 French Open, Paris, France",5,1826.0,Court Philippe Chatrier,Paris,France,CAN,Europe/Paris,195800,Canada,CAN,AUG,home,21.0,88,closed,ended,0.0,3.0,407573.0,"[{'home_score': 3, 'away_score': 6, 'type': 'set', 'number': 1}, {'home_score': 3, 'away_score': 6, 'type': 'set', 'number': 2}, {'home_score': 1, 'away_score': 6, 'type': 'set', 'number': 3}]",0.0,15.0,15.0,6.0,1.0,5.0,4.0,3.0,29.0,48.0,5.0,19.0,6.0,7.0,20.0,33.0,8.0,1.0,0.0,1.0,5.0,1.0,0.0,2.0,68.0,4.0,0.0,0.0,14.0,31.0,6.0,41.0,43.0,0.0,5.0,1.0,4.0,"Auger-Aliassime,",F
50200053,2024-06-02T12:05:00+00:00,True,5,Tennis,3,ATP,2579,French Open Men Singles,2577,singles,men,grand_slam,106267,French Open Men Singles 2024,2024-05-20,2024-06-09,2024,2579,2,cup,stage_1_playoff,round_of_16,148957,"2024 French Open, Paris, France",5,1826.0,Court Philippe Chatrier,Paris,France,ESP,Europe/Paris,407573,Spain,ESP,ALC,away,3.0,96,closed,ended,0.0,3.0,407573.0,"[{'home_score': 3, 'away_score': 6, 'type': 'set', 'number': 1}, {'home_score': 3, 'away_score': 6, 'type': 'set', 'number': 2}, {'home_score': 1, 'away_score': 6, 'type': 'set', 'number': 3}]",1.0,18.0,13.0,9.0,6.0,2.0,1.0,9.0,40.0,53.0,11.0,10.0,25.0,18.0,28.0,23.0,26.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,95.0,6.0,0.0,0.0,14.0,24.0,12.0,25.0,54.0,0.0,16.0,0.0,8.0,"Alcaraz,",C
