Event ID,Start Time,Confirmed,Sport ID,Sport Name,Category ID,Category Name,Competition ID,Competition Name,Parent ID,Type,Gender,Level,Season ID,Season Name,Start Date,End Date,Year,Competition ID,Stage Order,Stage Type,Stage Phase,Round Name,Group ID,Group Name,Best Of,Venue ID,Venue Name,City Name,Country Name,Country Code,Timezone,Competitor ID,Competitor Name,Country,Country Code,Abbreviation,Qualifier,Seed,Bracket Number,Status,Match Status,Home Score,Away Score,Winner ID,Period Scores,Aces,Backhand Errors,Backhand Unforced Errors,Backhand Winners,Breakpoints Won,Double Faults,Drop Shot Unforced Errors,Drop Shot Winners,First Serve Points Won,First Serve Successful,Forehand Errors,Forehand Unforced Errors,Forehand Winners,Games Won,Groundstroke Errors,Groundstroke Unforced Errors,Groundstroke Winners,Lob Unforced Errors,Lob Winners,Max Games In A Row,Max Points In A Row,Overhead Stroke Errors,Overhead Stroke Unforced Errors,Overhead Stroke Winners,Points Won,Points Won From Last 10,Return Errors,Return Winners,Second Serve Points Won,Second Serve Successful,Service Games Won,Service Points Lost,Service Points Won,Tiebreaks Won,Total Breakpoints,Volley Unforced Errors,Volley Winners
50304047,2024-05-28T18:25:00+00:00,True,5,Tennis,3,ATP,2579,French Open Men Singles,2577,singles,men,grand_slam,106267,French Open Men Singles 2024,2024-05-20,2024-06-09,2024,2579,2,cup,stage_1_playoff,round_of_128,148957,"2024 French Open, Paris, France",5,1826,Court Philippe Chatrier,Paris,France,SRB,Europe/Paris,14882,"Djokovic, Novak",Serbia,SRB,DJO,home,1,1,closed,ended,3,0,14882,"[{'home_score': 6, 'away_score': 4, 'type': 'set', 'number': 1}, {'home_score': 7, 'away_score': 6, 'type': 'set', 'number': 2, 'home_tiebreak_score': 7, 'away_tiebreak_score': 3}, {'home_score': 6, 'away_score': 4, 'type': 'set', 'number': 3}]",4,18,8,8,3,2,0,0,48,57,7,9,18,19,25,17,26,0,0,3,7,0,0,0,103,6,0,0,18,23,15,16,66,1,7,0,0
50304047,2024-05-28T18:25:00+00:00,True,5,Tennis,3,ATP,2579,French Open Men Singles,2577,singles,men,grand_slam,106267,French Open Men Singles 2024,2024-05-20,2024-06-09,2024,2579,2,cup,stage_1_playoff,round_of_128,148957,"2024 French Open, Paris, France",5,1826,Court Philippe Chatrier,Paris,France,FRA,Europe/Paris,44553,"Herbert, Pierre-Hugues",France,FRA,HER,away,,2,closed,ended,3,0,14882,"[{'home_score': 6, 'away_score': 4, 'type': 'set', 'number': 1}, {'home_score': 7, 'away_score': 6, 'type': 'set', 'number': 2, 'home_tiebreak_score': 7, 'away_tiebreak_score': 3}, {'home_score': 6, 'away_score': 4, 'type': 'set', 'number': 3}]",7,12,10,11,1,6,0,0,48,68,30,13,16,14,42,23,27,0,0,2,4,0,0,0,81,4,0,0,17,28,13,37,65,0,1,0,0
50121503,2024-05-24T12:30:00+00:00,True,5,Tennis,3,ATP,12315,"ATP Geneva, Switzerland Men Singles",12313,singles,men,atp_250,111382,"ATP Geneva, Switzerland Men Singles 2024",2024-05-18,2024-05-25,2024,12315,2,cup,stage_1_playoff,semifinal,155056,"2024 Geneva, Switzerland",3,15266,Centre Court,Geneva,Switzerland,SRB,Europe/Zurich,14882,"Djokovic, Novak",Serbia,SRB,DJO,home,1,1,closed,ended,1,2,300540,"[{'home_score': 4, 'away_score': 6, 'type': 'set', 'number': 1}, {'home_score': 6, 'away_score': 0, 'type': 'set', 'number': 2}, {'home_score': 1, 'away_score': 6, 'type': 'set', 'number': 3}]",4,,,,4,2,,,38,60,,,,11,,,,,,7,6,,,,83,,,,11,30,7,43,49,0,11,,
50121503,2024-05-24T12:30:00+00:00,True,5,Tennis,3,ATP,12315,"ATP Geneva, Switzerland Men Singles",12313,singles,men,atp_250,111382,"ATP Geneva, Switzerland Men Singles 2024",2024-05-18,2024-05-25,2024,12315,2,cup,stage_1_playoff,semifinal,155056,"2024 Geneva, Switzerland",3,15266,Centre Court,Geneva,Switzerland,CZE,Europe/Zurich,300540,"Machac, Tomas",Czechia,CZE,MAC,away,,15,closed,ended,1,2,300540,"[{'home_score': 4, 'away_score': 6, 'type': 'set', 'number': 1}, {'home_score': 6, 'away_score': 0, 'type': 'set', 'number': 2}, {'home_score': 1, 'away_score': 6, 'type': 'set', 'number': 3}]",4,,,,5,2,,,27,46,,,,12,,,,,,6,5,,,,84,,,,14,27,7,34,41,0,12,,
50121495,2024-05-23T15:40:00+00:00,True,5,Tennis,3,ATP,12315,"ATP Geneva, Switzerland Men Singles",12313,singles,men,atp_250,111382,"ATP Geneva, Switzerland Men Singles 2024",2024-05-18,2024-05-25,2024,12315,2,cup,stage_1_playoff,quarterfinal,155056,"2024 Geneva, Switzerland",3,15266,Centre Court,Geneva,Switzerland,SRB,Europe/Zurich,14882,"Djokovic, Novak",Serbia,SRB,DJO,home,1,1,closed,ended,2,0,14882,"[{'home_score': 7, 'away_score': 5, 'type': 'set', 'number': 1}, {'home_score': 6, 'away_score': 1, 'type': 'set', 'number': 2}]",4,,,,4,1,,,33,38,,,,13,,,,,,7,8,,,,63,,,,7,14,9,13,40,0,9,,
50121495,2024-05-23T15:40:00+00:00,True,5,Tennis,3,ATP,12315,"ATP Geneva, Switzerland Men Singles",12313,singles,men,atp_250,111382,"ATP Geneva, Switzerland Men Singles 2024",2024-05-18,2024-05-25,2024,12315,2,cup,stage_1_playoff,quarterfinal,155056,"2024 Geneva, Switzerland",3,15266,Centre Court,Geneva,Switzerland,NLD,Europe/Zurich,122368,"Griekspoor, Tallon",Netherlands,NLD,GRI,away,6,8,closed,ended,2,0,14882,"[{'home_score': 7, 'away_score': 5, 'type': 'set', 'number': 1}, {'home_score': 6, 'away_score': 1, 'type': 'set', 'number': 2}]",4,,,,0,5,,,23,33,,,,6,,,,,,1,6,,,,45,,,,9,17,6,23,32,0,7,,
50121509,2024-05-22T16:05:00+00:00,True,5,Tennis,3,ATP,12315,"ATP Geneva, Switzerland Men Singles",12313,singles,men,atp_250,111382,"ATP Geneva, Switzerland Men Singles 2024",2024-05-18,2024-05-25,2024,12315,2,cup,stage_1_playoff,round_of_16,155056,"2024 Geneva, Switzerland",3,15266,Centre Court,Geneva,Switzerland,SRB,Europe/Zurich,14882,"Djokovic, Novak",Serbia,SRB,DJO,home,1,1,closed,ended,2,0,14882,"[{'home_score': 6, 'away_score': 3, 'type': 'set', 'number': 1}, {'home_score': 6, 'away_score': 3, 'type': 'set', 'number': 2}]",3,,,,4,2,,,32,45,,,,12,,,,,,6,6,,,,67,,,,12,21,8,24,44,0,9,,
50121509,2024-05-22T16:05:00+00:00,True,5,Tennis,3,ATP,12315,"ATP Geneva, Switzerland Men Singles",12313,singles,men,atp_250,111382,"ATP Geneva, Switzerland Men Singles 2024",2024-05-18,2024-05-25,2024,12315,2,cup,stage_1_playoff,round_of_16,155056,"2024 Geneva, Switzerland",3,15266,Centre Court,Geneva,Switzerland,DEU,Europe/Zurich,47975,"Hanfmann, Yannick",Germany,DEU,HAN,away,,3,closed,ended,2,0,14882,"[{'home_score': 6, 'away_score': 3, 'type': 'set', 'number': 1}, {'home_score': 6, 'away_score': 3, 'type': 'set', 'number': 2}]",3,,,,1,0,,,24,42,,,,6,,,,,,3,6,,,,51,,,,3,8,5,23,27,0,11,,
49847239,2024-05-12T12:50:00+00:00,True,5,Tennis,3,ATP,2781,"ATP Rome, Italy Men Singles",2779,singles,men,atp_1000,111378,"ATP Rome, Italy Men Singles 2024",2024-05-06,2024-05-19,2024,2781,2,cup,stage_1_playoff,round_of_32,155050,"2024 Rome, Italy",3,1762,Center Court,Rome,Italy,SRB,Europe/Rome,14882,"Djokovic, Novak",Serbia,SRB,DJO,home,1,1,closed,ended,0,2,102151,"[{'home_score': 2, 'away_score': 6, 'type': 'set', 'number': 1}, {'home_score': 3, 'away_score': 6, 'type': 'set', 'number': 2}]",8,,,,0,5,,,19,27,,,,5,,,,,,1,5,,,,40,,,,11,20,5,22,30,0,0,,
49847239,2024-05-12T12:50:00+00:00,True,5,Tennis,3,ATP,2781,"ATP Rome, Italy Men Singles",2779,singles,men,atp_1000,111378,"ATP Rome, Italy Men Singles 2024",2024-05-06,2024-05-19,2024,2781,2,cup,stage_1_playoff,round_of_32,155050,"2024 Rome, Italy",3,1762,Center Court,Rome,Italy,CHL,Europe/Rome,102151,"Tabilo, Alejandro",Chile,CHL,TAB,away,29,8,closed,ended,0,2,102151,"[{'home_score': 2, 'away_score': 6, 'type': 'set', 'number': 1}, {'home_score': 3, 'away_score': 6, 'type': 'set', 'number': 2}]",4,,,,4,0,,,23,30,,,,12,,,,,,4,5,,,,54,,,,9,12,8,10,32,0,7,,
49847301,2024-05-10T17:00:00+00:00,True,5,Tennis,3,ATP,2781,"ATP Rome, Italy Men Singles",2779,singles,men,atp_1000,111378,"ATP Rome, Italy Men Singles 2024",2024-05-06,2024-05-19,2024,2781,2,cup,stage_1_playoff,round_of_64,155050,"2024 Rome, Italy",3,1762,Center Court,Rome,Italy,SRB,Europe/Rome,14882,"Djokovic, Novak",Serbia,SRB,DJO,home,1,1,closed,ended,2,0,14882,"[{'home_score': 6, 'away_score': 3, 'type': 'set', 'number': 1}, {'home_score': 6, 'away_score': 1, 'type': 'set', 'number': 2}]",1,,,,6,0,,,17,26,,,,12,,,,,,7,10,,,,61,,,,11,16,6,14,28,0,9,,
49847301,2024-05-10T17:00:00+00:00,True,5,Tennis,3,ATP,2781,"ATP Rome, Italy Men Singles",2779,singles,men,atp_1000,111378,"ATP Rome, Italy Men Singles 2024",2024-05-06,2024-05-19,2024,2781,2,cup,stage_1_playoff,round_of_64,155050,"2024 Rome, Italy",3,1762,Center Court,Rome,Italy,FRA,Europe/Rome,175014,"Moutet, Corentin",France,FRA,MOU,away,,3,closed,ended,2,0,14882,"[{'home_score': 6, 'away_score': 3, 'type': 'set', 'number': 1}, {'home_score': 6, 'away_score': 1, 'type': 'set', 'number': 2}]",0,,,,2,0,,,21,45,,,,4,,,,,,2,3,,,,40,,,,5,14,2,33,26,0,7,,
49241485,2024-04-13T14:40:00+00:00,True,5,Tennis,3,ATP,3121,"ATP Monte Carlo, Monaco Men Singles",3119,singles,men,atp_1000,111352,"ATP Monte Carlo, Monaco Men Singles 2024",2024-04-06,2024-04-14,2024,3121,2,cup,stage_1_playoff,semifinal,155016,"2024 Monte Carlo, Monaco",3,18055,Court Rainier III,Monte Carlo,Monaco,SRB,,14882,"Djokovic, Novak",Serbia,SRB,DJO,home,1,1,closed,ended,1,2,119248,"[{'home_score': 4, 'away_score': 6, 'type': 'set', 'number': 1}, {'home_score': 6, 'away_score': 1, 'type': 'set', 'number': 2}, {'home_score': 4, 'away_score': 6, 'type': 'set', 'number': 3}]",3,,,,4,2,,,31,46,,,,14,,,,,,3,9,,,,84,,,,19,31,10,29,50,0,5,,
